Ano,Despesas com profissionais da Educação básica,% aplicado com profissionais da Educação Básica
2007,"153.634.392,07","70,54"
2008,"252.676.776,70","80,45"
2009,"359.745.148,78","80,43"
2010,"373.896.099,12","80,70"
2011,"499.907.224,55","83,79"
2012,"383.636.558,01","61,99"
2013,"584.647.267,64","91,06"
2014,"431.869.735,92","67,19"
2015,"592.339.239,03","90,55"
2016,"683.476.173,17","91,95"
2017,"637.004.121,50","73,87"
2018,"619.722.242,17","64,05"
2019,"747.589.203,68","73,71"
2020,"707.453.159,00","78,41"
2021,"816.003.914,51","70,15"
2022,"948.303.275,12","70,23"
2023,"1.219.550.601,80","75,67"
