Ano,Educação Infantil,Creche,Pré-escola,Ensino Fundamental,Ensino Médio,Ensino Superior,Educação Especial,Educação de Jovens e Adultos,Ensino Profissional não integrado ao profissional,Administração Geral,Transporte Escolar,Outras,TOTAL
2007,"0,01",-,-,"463.386.586,09","8.579.729,36","546.175,06",-,-,"153.592,99",-,-,"73.758,26","472.739.841,77"
2008,"0,00",-,-,"319.604.642,34","238.250.404,45","512.476,19",-,-,"373.362,40",-,-,"112.856,00","558.853.741,38"
2009,"0,00",-,-,"325.178.871,03","363.644.188,65","406.010,63",-,-,"2.911.914,96",-,-,"5.040.656,46","697.181.661,73"
2010,"10.000.000,00",-,-,"543.581.309,90","196.295.830,61","2.127.590,87",-,-,"10.000.000,00",-,-,"10.004.230,60","772.008.961,98"
2011,"8.920.316,87",-,-,"241.796.152,41","609.885.440,58","3.860.945,02",-,-,"21.039.643,92",-,-,"0,00","885.502.498,80"
2012,"25.000.000,00",-,-,"235.605.301,14","642.851.482,38","5.541.439,18",-,-,"18.339.543,35",-,-,"0,00","927.337.766,05"
2013,"0,00","0,00","0,00","247.791.372,06","482.254.386,98","241.425.290,18",-,-,"13.439.105,96",-,-,"0,00","984.910.155,18"
2014,"3.000.000,00","1.500.000,00","1.500.000,00","87.639.614,10","942.559.682,26","9.261.056,47",-,-,"24.962.224,91",-,-,"0,00","1.067.422.577,74"
2015,"0,00","0,00","0,00","88.992.120,58","1.016.144.762,54","14.353.488,48",-,-,"54.006.875,00",-,-,"0,00","1.173.497.246,60"
2016,"0,00","0,00","0,00","160.684.204,85","941.002.409,53","43.054.011,00",-,-,"27.645.550,27",-,-,"0,00","1.172.386.175,65"
2017,"0,00","0,00","0,00","244.660.267,98","1.031.772.559,46","12.449.191,38",-,-,"955.500,23",-,-,"0,00","1.289.837.539,05"
2018,"0,00","0,00","0,00","208.189.335,49","1.372.624.916,49","15.678.852,35",-,-,"42.063.127,90",-,-,"0,00","1.638.556.232,23"
2019,"0,00","0,00","0,00","240.385.591,14","1.099.901.663,53","200.423.849,89",-,-,"19.041.885,29",-,-,"0,00","1.559.752.989,85"
2020,"0,00","0,00","0,00","187.129.681,55","933.298.504,04","202.914.112,95",-,-,"11.102.528,78",-,-,"0,00","1.334.444.827,32"
2021,"0,00","0,00","0,00","469.710.653,66","1.230.388.915,35","212.584.915,79",-,-,"39.520.302,85",-,-,-,"1.764.441.295,22"
2022,"0,00","0,00","0,00","342.113.446,91","1.310.141.323,14","257.167.846,11",-,-,"39.764.209,27",-,-,-,"1.949.186.825,45"
2023,"0,00","0,00","0,00","304.666.850,88","1.608.869.026,61","149.112.218,19","0,00","199.760.071,49","286.564.532,00","119.922.864,84","0,00","0,00","4.421.289.684,49"
