Ano,+ Receita Líquida de impostos e transferência constitucionais e legais MDE (I),- receitas destinadas ao Fundeb (fundo estadual) (II),+ receitas recebidas do Fundeb (fundo estadual) (III),+ Complementação da União ao Fundeb (IV),+ Quota do salário-educação (V),"+ Transferência de Programas do FNDE (PDDE, PNAE, PNATE, PNLD) (VI)",+Royalties do Petróleo e gás (VII),Total RPEB
2007,"667.376.728,14","466.891.107,76","188.564.036,16","29.207.119,16","0,00","794.515,11",,"419.051.290,81"
2008,"808.817.944,16","602.716.827,77","271.988.362,49","42.079.838,81","6.883.572,67","2.996.304,80",,"530.049.195,16"
2009,"829.783.596,50","620.955.945,70","350.349.094,98","96.352.938,23","7.944.697,14","21.294.511,24",,"684.768.892,39"
2010,"935.773.939,25","721.622.024,94","369.153.702,70","94.068.464,21","9.679.066,85","98.154.695,33",,"785.207.843,40"
2011,"1.102.151.381,75","849.438.203,27","462.783.640,69","132.801.095,19","12.812.422,75","47.580.507,80",,"908.690.844,91"
2012,"1.186.373.957,21","899.918.762,39","484.078.823,22","134.104.762,42","12.320.657,18","57.966.356,95",,"974.925.794,59"
2013,"1.299.804.456,57","994.899.202,07","517.023.837,02","123.834.985,19","13.464.175,26","21.106.719,20",,"980.334.971,17"
2014,"1.435.781.310,49","1.099.077.644,33","514.253.799,50","127.105.580,49","16.084.135,74","18.482.668,00",,"1.012.629.849,89"
2015,"1.536.415.775,70","1.170.115.063,66","508.971.214,55","140.000.000,00","21.615.918,79","18.562.705,20",,"1.055.450.550,58"
2016,"1.707.951.570,31","1.302.040.994,12","579.742.410,44","161.485.129,33","20.188.185,59","22.995.272,81",,"1.190.321.574,36"
2017,"1.508.743.223,19","1.158.001.996,67","649.450.295,03","207.347.726,59","20.417.919,36","27.452.966,31",,"1.255.410.133,81"
2018,"1.974.521.813,45","1.499.588.214,14","726.723.061,37","240.083.119,22","19.412.250,54","30.265.983,78",,"1.491.418.014,22"
2019,"1.790.033.881,97","1.528.852.265,08","763.405.473,06","249.894.450,80","23.221.440,67","36.213.521,09",,"1.333.916.502,51"
2020,"1.755.785.266,57","1.522.041.571,49","673.330.224,22","228.580.514,90","13.943.726,18","30.657.624,37",,"1.180.255.784,75"
2021,"2.577.740.769,45","2.005.035.891,75","908.527.492,70","250.729.753,52","14.485.281,16","27.013.287,60","0,00","1.773.460.692,68"
2022,"2.980.765.811,80","2.329.598.328,45","1.022.968.394,24","301.064.815,76","14.655.353,89","21.411.408,00","0,00","2.011.267.455,24"
2023,"3.329.138.223,27","2.517.752.359,55","1.224.452.575,01","369.632.654,54","17.480.228,84","35.560.233,94","0,00","2.458.511.556,05"
