Ano,"Receita Bruta de impostos próprios (ICMS, ITCD, IRRF, IPVA)","Deduções de transferências constitucionais aos municípios dos impostos próprios (ICMS, IPVA)",Receita Líquida de impostos próprios
2007,"1.328.871.403,24","324.241.459,19","1.004.629.944,05"
2008,"1.588.960.362,21","388.093.333,87","1.200.867.028,34"
2009,"1.783.542.469,71","425.215.135,92","1.358.327.333,79"
2010,"2.158.160.173,38","528.417.655,04","1.629.742.518,34"
2011,"2.369.709.471,72","563.222.232,10","1.806.487.239,62"
2012,"2.712.463.589,86","649.446.539,58","2.063.017.050,28"
2013,"3.063.279.938,35","748.471.563,43","2.314.808.374,92"
2014,"3.432.659.945,76","832.379.238,40","2.600.280.707,36"
2015,"3.748.179.513,77","908.527.930,95","2.839.651.582,82"
2016,"4.033.377.811,64","979.482.788,73","3.053.895.022,91"
2017,"3.287.153.057,00","853.533.590,99","2.433.619.466,01"
2018,"5.223.861.242,14","1.190.493.150,18","4.033.368.091,96"
2019,"4.168.024.557,07","1.230.572.709,86","2.937.451.847,21"
2020,"4.296.281.820,63","1.301.210.623,86","2.995.071.196,77"
2021,"5.162.288.508,34","311.365.155,67","4.850.923.352,67"
2022,"5.371.075.237,45","240.795.357,19","5.130.279.880,26"
2023,"8.042.115.119,45","2.005.130.162,43","6.036.984.957,02"
