Ano,Cota-parte FPE,Cota-parte IPI-Exp,Cota-parte IOF-Ouro,"Compensação financeiras proveniente e impostos e transferências constitucionais (ICMS desoneração Lei 87/96, outros)",TOTAL_RECEITAS_TRANSFERENCIAS
2007,"1.659.776.618,39","688.487,07","231,83","4.411.631,20","1.664.876.968,49"
2008,"2.029.237.391,54","755.527,94","197,53","4.411.631,27","2.034.404.748,28"
2009,"1.955.779.826,58","614.865,37","728,98","4.411.631,28","1.960.807.052,21"
2010,"2.107.984.137,31","957.329,27","140,78","4.411.631,28","2.113.353.238,64"
2011,"2.596.631.622,60","1.074.986,68","46,82","4.411.631,28","2.602.118.287,38"
2012,"2.677.349.611,87","717.190,52","344,87","4.411.631,28","2.682.478.778,54"
2013,"2.879.357.913,39","638.526,04","1.380,64","4.411.631,27","2.884.409.451,34"
2014,"3.137.669.034,53","739.407,54","24.461,23","4.411.631,28","3.142.844.534,58"
2015,"3.300.777.033,01","820.552,67","2.303,01","4.411.631,27","3.306.011.519,96"
2016,"3.772.743.801,42","755.208,28","617,35","4.411.631,28","3.777.911.258,33"
2017,"3.596.026.513,79","-113.274.697,35","517,96","4.411.631,28","3.487.163.965,68"
2018,"3.859.293.087,14","1.104.938,40","0,00","4.321.136,28","3.864.719.161,82"
2019,"4.221.669.675,35","1.012.263,60","1.741,72","0,00","4.222.683.680,67"
2020,"4.027.070.833,88","799.121,33","199.914,30","0,00","4.028.069.869,51"
2021,"5.457.862.054,23","1.439.582,28","738.088,60","0,00","5.460.039.725,11"
2022,"6.777.083.804,91","1.375.671,33","389,55","14.323.501,15","6.792.783.366,94"
2023,"6.982.045.863,17","1.221.927,73","145,14","296.300.000,00","7.279.567.936,04"
