Ano,Receita líquida de impostos próprios,"Receita líquida de transferências constitucionais federais (FPE, IPI-EXP, IOF-Ouro, ICMS desoneração)",TOTAL RECEITAS LÍQUIDAS
2007,"1.004.629.944,05","1.664.876.968,49","2.669.506.912,54"
2008,"1.200.867.028,34","2.034.404.748,28","3.235.271.776,62"
2009,"1.358.327.333,79","1.960.807.052,21","3.319.134.386,00"
2010,"1.629.742.518,34","2.113.353.238,64","3.743.095.756,98"
2011,"1.806.487.239,62","2.602.118.287,38","4.408.605.527,00"
2012,"2.063.017.050,28","2.682.478.778,54","4.745.495.828,82"
2013,"2.314.808.374,92","2.884.409.451,34","5.199.217.826,26"
2014,"2.600.280.707,36","3.142.844.534,58","5.743.125.241,94"
2015,"2.839.651.582,82","3.306.011.519,96","6.145.663.102,78"
2016,"3.053.895.022,91","3.777.911.258,33","6.831.806.281,24"
2017,"2.433.619.466,01","3.601.353.426,74","6.034.972.892,75"
2018,"4.033.368.091,96","3.864.719.161,82","7.898.087.253,78"
2019,"2.937.451.847,21","4.222.683.680,67","7.160.135.527,88"
2020,"2.995.071.196,77","4.028.069.869,51","7.023.141.066,28"
2021,"4.850.923.352,67","5.460.039.725,11","10.310.963.077,78"
2022,"5.130.279.880,26","6.792.783.366,94","11.923.063.247,20"
2023,"6.036.984.957,02","7.279.567.936,04","13.316.552.893,06"
