Ano,Receita destinada/contribuição ao Fundef/Fundeb,Receita recebida na redistribuição interna do Fundeb,Resultado Líquido (ganhos ou perdas),Complementação da União,Receita de aplicação financeira do Fundeb,Ressarcimento de recursos do Fundeb,Total do Fundeb no Estado (com aplicação)
2007,"466.891.107,76","188.564.036,16","-278.327.071,60","29.207.119,16","0,00",-,"217.771.155,32"
2008,"602.716.827,77","271.988.362,49","-330.728.465,28","42.079.838,81","0,00",-,"314.068.201,30"
2009,"620.955.945,70","350.349.094,98","-270.606.850,72","96.352.938,23","532.835,25",-,"447.234.868,46"
2010,"721.622.024,94","369.153.702,70","-352.468.322,24","94.068.464,21","90.878,78",-,"463.313.045,69"
2011,"849.438.203,27","462.783.640,69","-386.654.562,58","132.801.095,19","1.033.108,40",-,"596.617.844,28"
2012,"899.918.762,39","484.078.823,22","-415.839.939,17","134.104.762,42","733.015,97",-,"618.916.601,61"
2013,"994.899.202,07","517.023.837,02","-477.875.365,05","123.834.985,19","1.218.390,53",-,"642.077.212,74"
2014,"1.099.077.644,33","514.253.799,50","-584.823.844,83","127.105.580,49","1.369.687,29",-,"642.729.067,28"
2015,"1.170.115.063,66","508.971.214,55","-661.143.849,11","140.000.000,00","5.211.969,60",-,"654.183.184,15"
2016,"1.302.040.994,12","579.742.410,44","-722.298.583,68","161.485.129,33","2.086.366,32",-,"743.313.906,09"
2017,"1.158.001.996,67","649.450.295,03","-508.551.701,64","207.347.726,59","5.538.952,32",-,"862.336.973,94"
2018,"1.499.588.214,14","726.723.061,37","-772.865.152,77","240.083.119,22","799.178,83",-,"967.605.359,42"
2019,"1.528.852.265,08","763.405.473,06","-765.446.792,02","249.894.450,80","950.936,50",-,"1.014.250.860,36"
2020,"1.522.041.571,49","673.330.224,22","-848.711.347,27","228.580.514,90","303.472,76",-,"902.214.211,88"
2021,"2.005.035.891,75","908.527.492,70","-1.096.508.399,05","250.729.753,52","3.963.424,69",-,"1.163.220.670,91"
2022,"2.329.598.328,45","1.022.968.394,24","-1.306.629.934,21","301.064.815,76","26.307.741,95",-,"1.350.340.951,95"
2023,"2.517.752.359,55","1.224.452.575,01","-1.293.299.784,54","369.632.654,54","17.320.426,30","195.067,79","1.611.600.723,64"
