Ano,Valor exigido em MDE,Valor aplicado em MDE,% aplicado em MDE
2007,"667.376.728,13","751.066.913,36","28,13"
2008,"808.817.944,15","834.988.674,63","25,80"
2009,"829.783.596,50","870.902.738,97","26,23"
2010,"935.773.939,24","1.020.922.917,79","27,27"
2011,"1.102.151.381,75","1.138.322.857,79","25,82"
2012,"1.186.373.957,21","1.208.339.926,83","25,46"
2013,"1.299.804.456,57","1.337.732.144,51","25,72"
2014,"1.435.781.310,48","1.523.771.154,79","26,53"
2015,"1.536.415.775,70","1.706.620.239,59","27,76"
2016,"1.707.951.570,31","1.731.129.711,67","25,33"
2017,"1.508.743.223,19","1.595.384.675,05","26,44"
2018,"1.974.521.813,45","2.201.992.270,28","27,88"
2019,"1.790.033.881,97","2.144.317.106,16","29,95"
2020,"1.755.785.266,57","1.898.070.985,12","27,03"
2021,"2.577.740.769,44","2.692.423.841,99","26,11"
2022,"2.980.765.811,80","3.085.773.476,96","25,88"
2023,"3.329.138.223,26","3.466.482.258,05","26,03"
