Quais as receitas adicionais da educação no estado?,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Receita de aplicação financeira de outros recursos de impostos vinculados ao ensino,,,,"0,00","0,00","0,00","0,00","0,00","0,00","8.192.298,44","10.285.175,03","0,00","0,00","0,00","0,00",,,
Salário-Educação,"3.659.745,05","0,00","6.883.572,67","7.944.697,14","9.679.066,85","12.812.422,75","12.320.657,18","13.464.175,26","16.084.135,74","21.615.918,79","20.188.185,59","20.417.919,36","19.412.250,54","23.221.440,67","13.943.726,18","14.485.281,16","14.655.353,89","17.480.228,84"
PDDE,,,,,,,,"660,00","0,00","500,00","0,00","2.210,00","1.710,00","0,00","0,00","4.200,00","0,00","7.660,00"
PNAE,,,,,,,,"21.106.059,20","18.482.668,00","18.562.205,20","18.190.560,00","23.519.380,60","26.101.556,80","29.886.908,40","27.212.200,40","23.455.986,16","21.411.408,00","29.652.023,20"
PNATE,,,,,,,,"0,00","0,00","0,00","4.804.712,81","3.931.375,71","4.162.716,98","6.326.612,69","3.445.423,97","3.553.101,44","0,00","5.900.550,74"
Outras transferências do FNDE,"0,00","794.515,11","2.996.304,80","21.294.511,24","98.154.695,33","47.580.507,80","57.966.356,95","30.940.169,03","22.242.914,06","0,00","124.991.760,64","41.163.661,41","7.982.617,63","0,00","0,00","18.960,74","581.280,00","3.600.000,00"
Convênios (incluindo aplicação),"0,00","0,00","95.797.685,09","53.535.109,01","39.193.985,16","62.223.826,97","36.173.786,53","80.210.581,93","30.923.200,63","25.087.216,57","88.796.176,31","0,00","19.527.006,98","34.479.588,74","20.565.018,20","13.045.320,85","92.681.004,95","3.031.999,37"
Operação de créditos,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","313,77","0,00","0,00"
Royalties,,,,,,,,,,,,,,,,"0,00","0,00","0,00"
Outras receitas,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","366.360,36","0,00","319.129.587,07"
Aplicação financeiras de recursos do FNDE,,,,"851,02","0,00","0,00","0,00","0,00","0,00","0,00","22.388.109,60","25.459.835,21","1.771.051,83","1.017.373,71","145.711,87",,,
Total,"3.659.745,05","794.515,11","105.677.562,56","82.775.168,41","147.027.747,34","122.616.757,52","106.460.800,66","145.721.645,42","87.732.918,43","73.458.139,00","289.644.679,98","114.494.382,29","78.958.910,76","94.931.924,21","65.312.080,62","54.929.524,48","129.329.046,84","378.802.049,22"
